mn,sd,med,type,par,ne,context
2.02767517062694,0.000702001810842274,2.02764722337503,s,largedata/revise_fig1/new_msfs_CG_pops_1e+05_ft.RData,1e+05,CG
7.04456365461308,0.000963824768494238,7.04456729961703,nu,largedata/revise_fig1/new_msfs_CG_pops_1e+05_ft.RData,1e+05,CG
5.74832064483156,0.000147987137876718,5.74832663482937,mu,largedata/revise_fig1/new_msfs_CG_pops_1e+05_ft.RData,1e+05,CG
2.02766050037123,0.000716642923850358,2.02763523223676,s,largedata/revise_fig1/new_msfs_CG_pops_1e+06_ft.RData,1e+06,CG
8.04455738934644,0.000988694870522155,8.04455866634662,nu,largedata/revise_fig1/new_msfs_CG_pops_1e+06_ft.RData,1e+06,CG
6.7483222426832,0.000149748764725311,6.74832118809133,mu,largedata/revise_fig1/new_msfs_CG_pops_1e+06_ft.RData,1e+06,CG
2.02766511383495,0.000710871153285945,2.02766445018005,s,largedata/revise_fig1/new_msfs_CG_pops_50000_ft.RData,50000,CG
6.74352299879163,0.00097822981183682,6.74352091450951,nu,largedata/revise_fig1/new_msfs_CG_pops_50000_ft.RData,50000,CG
5.4472914949207,0.000149565589093544,5.44728994516719,mu,largedata/revise_fig1/new_msfs_CG_pops_50000_ft.RData,50000,CG
2.02771867715979,0.000687323225416995,2.02771895508569,s,largedata/revise_fig1/new_msfs_CG_pops_5e+05_ft.RData,5e+05,CG
7.74358125918856,0.000962666075903998,7.74358145539208,nu,largedata/revise_fig1/new_msfs_CG_pops_5e+05_ft.RData,5e+05,CG
6.44728078971779,0.000147490792788255,6.44727867969827,mu,largedata/revise_fig1/new_msfs_CG_pops_5e+05_ft.RData,5e+05,CG
2.21088968831625,0.000738091312590565,2.21088040910043,s,largedata/revise_fig1/new_msfs_CHG_pops_1e+05_ft.RData,1e+05,CHG
6.82568182851103,0.000671760223934954,6.82568314973537,nu,largedata/revise_fig1/new_msfs_CHG_pops_1e+05_ft.RData,1e+05,CHG
5.42107859595554,0.000151816501476145,5.42107764017825,mu,largedata/revise_fig1/new_msfs_CHG_pops_1e+05_ft.RData,1e+05,CHG
2.21087387674994,0.000736807900904624,2.21084404856463,s,largedata/revise_fig1/new_msfs_CHG_pops_1e+06_ft.RData,1e+06,CHG
7.82567892195619,0.000669719268201105,7.82567919552564,nu,largedata/revise_fig1/new_msfs_CHG_pops_1e+06_ft.RData,1e+06,CHG
6.42108344819356,0.000154464004092854,6.42108918110187,mu,largedata/revise_fig1/new_msfs_CHG_pops_1e+06_ft.RData,1e+06,CHG
2.21088922283805,0.000706067451306237,2.2108906146053,s,largedata/revise_fig1/new_msfs_CHG_pops_50000_ft.RData,50000,CHG
6.52465129940704,0.000657452779937104,6.52465317002711,nu,largedata/revise_fig1/new_msfs_CHG_pops_50000_ft.RData,50000,CHG
5.12004678580012,0.000149136565653983,5.12004787831912,mu,largedata/revise_fig1/new_msfs_CHG_pops_50000_ft.RData,50000,CHG
2.210927377083,0.000729716047055442,2.21092904450869,s,largedata/revise_fig1/new_msfs_CHG_pops_5e+05_ft.RData,5e+05,CHG
7.52468089728826,0.000672918702055425,7.52467881474614,nu,largedata/revise_fig1/new_msfs_CHG_pops_5e+05_ft.RData,5e+05,CHG
6.12004105676415,0.00015258211530904,6.12004278894901,mu,largedata/revise_fig1/new_msfs_CHG_pops_5e+05_ft.RData,5e+05,CHG
