mu,nu,s,type,pop
1.30559512528457e-06,5.58672378104241e-08,1.41280309789766e-05,CG,teosinte
2.93528994835948e-06,1.00452008499057e-07,1.57231160388082e-05,CHG,teosinte
4.35832012973341e-05,1.32690522162011e-07,8.23674955927584e-10,CHH,teosinte
1.03570360118543e-06,7.94250828061564e-08,1.22889487559457e-05,CG,landrace
2.82668845003175e-06,9.12613644447483e-08,1.57313702934571e-05,CHG,landrace
3.85393820217174e-05,1.14717216358473e-07,1.83567217973395e-09,CHH,landrace
1.15012116897376e-06,4.32421336987283e-08,1.3211679460338e-05,CG,maize
3.58419046674315e-06,7.14171753496343e-08,1.73595537572243e-05,CHG,maize
1.78888948464546e-05,3.78546765284525e-08,1.48457593493201e-09,CHH,maize
